lat,lon,name,value
55.8023549,37.7920326,Бульвар,1
59.9892462,30.3444917,cafe+,1
55.7599185,37.6116817,Якитория,1
55.6312182,37.677758,Библиотека №154,1
59.9331392,30.3284144,12 комнат,1
60.0146843,30.2501352,Beer House,1
55.7101338,37.6630722,Иль Массимо,1
59.9620623,30.4547557,Легион,1
55.6397181,37.6944422,Библиотека №167,1
55.6231046,37.654497,Библиотека №141,1
55.7531764,37.6349181,True Cost,1
59.9244595,30.3118302,London,1
59.8728604,30.2636064,Путиловъ-1,1
59.8085944,30.5771454,Код,1
55.7523348,37.819518,Шоколадница,1
55.7657091,37.6356723,Crazy Daisy,1
55.7998233,37.7944815,,1
59.9392282,30.3486744,Корчма Сало,1
55.54657,37.551432,Якитория,1
59.8726729,30.320793,Chang,1
59.8602896,30.3214747,MA,1
55.7396382,37.5960592,Амбассадори,1
55.743963,37.6020239,Il Forno,1
59.866565,30.383441,Центральная библиотека Фрунзенского района имени А. П. Чехова,1
59.9292321,30.3473028,Общество чистых тарелок,1
59.9166624,30.3204975,Beer House,1
59.9159654,30.3178167,Бургер Кинг,1
59.957417,30.3101491,Subway,1
59.9497287,30.2668601,Уральский мост,1
59.9220321,30.3046282,Персия,1
59.9352224,30.3316803,Lookbook,1
59.9551294,30.3077202,Цех85,1
59.9336507,30.3140842,Общество чистых тарелок,1
59.9248263,30.3566386,Краснодарский Парень,1
59.8405125,30.4845866,Вкусно — и точка,1
55.4963983,37.8415367,Лукойл,1
55.9619358,37.3348931,Лукойл,1
55.7599927,37.5846467,Бургер Кинг,1
59.9430268,30.3601084,Par,1
59.9410421,30.3481361,Blues club Hendricks,1
59.9466363,30.3581288,Beer House,1
59.9388151,30.3452831,Бизе,1
59.9414494,30.3454395,Сидрерия,1
59.9467177,30.3507415,Токио-Сити,1
59.8695257,30.3780891,Сбер,1
59.9420294,30.3440367,Арт-Отель Моховая,1
59.9439717,30.3671737,Слой,1
59.9435234,30.3552174,Хачапури и вино,1
59.9296511,30.3652775,Entry Coffeeshop & Wine,1
55.657212,37.4816861,Якитория,1
55.6655886,37.5071941,Siara,1
59.9368561,30.3548177,Маяк,1
59.832676,30.1998965,Токио-Сити,1
59.8610765,30.3978642,ВТБ,1
55.7631149,37.6464757,Беседка,1
55.7624377,37.5954627,Uilliam's,1
55.838757,37.3231816,Зенит,1
59.9578838,30.3335313,Страшная сила,1
55.8895112,37.5969036,Ёрш,1
55.8894229,37.5968792,Тануки,1
59.9150679,29.7722594,Академия (на реконструкции),1
59.9564586,30.321338,Евразия,1
55.7270253,37.4808151,WeGym Кутузовский,1
55.7211045,37.6104661,StarHit,1
55.7458923,37.549262,Кофе Хауз,1
59.9292502,30.3691475,Венеция,1
59.8368009,30.3580154,BBQ,1
59.866354,30.3133508,Beer House,1
55.7632797,37.6079595,Циферблат,1
55.6786728,37.5644057,Шоколадница,1
60.0330396,30.4167592,ФотоСлон,1
60.0290466,30.295748,Евразия,1
55.706776,37.7093916,Forpic,1
59.9480284,30.232876,Марчеллис,1
55.647669,37.5950375,Бургер Кинг,1
55.7579096,37.5973729,Breakfast,1
60.2166367,29.7290668,"база отдыха ""Азимут""",1
55.8069196,37.5031898,Кружка,1
